iso3,name,region,incomeLevel,income_group
MNP,Northern Mariana Islands,EAS,HIC,High income
MOZ,Mozambique,SSF,LIC,Low income
MRT,Mauritania,SSF,LMC,Lower-middle income
MUS,Mauritius,SSF,UMC,Upper-middle income
MWI,Malawi,SSF,LIC,Low income
MYS,Malaysia,EAS,UMC,Upper-middle income
NAM,Namibia,SSF,LMC,Lower-middle income
NCL,New Caledonia,EAS,HIC,High income
NER,Niger,SSF,LIC,Low income
NGA,Nigeria,SSF,LMC,Lower-middle income
NIC,Nicaragua,LCN,LMC,Lower-middle income
NLD,Netherlands,ECS,HIC,High income
NOR,Norway,ECS,HIC,High income
NPL,Nepal,SAS,LMC,Lower-middle income
NRU,Naoero,EAS,HIC,High income
NZL,New Zealand,EAS,HIC,High income
OMN,Oman,MEA,HIC,High income
PAK,Pakistan,MEA,LMC,Lower-middle income
PAN,Panama,LCN,HIC,High income
PER,Peru,LCN,UMC,Upper-middle income
PHL,Philippines,EAS,UMC,Upper-middle income
PLW,Palau,EAS,HIC,High income
PNG,Papua New Guinea,EAS,LMC,Lower-middle income
POL,Poland,ECS,HIC,High income
PRI,Puerto Rico (US),LCN,HIC,High income
PRK,"Korea, Dem. People's Rep.",EAS,LIC,Low income
PRT,Portugal,ECS,HIC,High income
PRY,Paraguay,LCN,UMC,Upper-middle income
PSE,West Bank and Gaza,MEA,LMC,Lower-middle income
PYF,French Polynesia,EAS,HIC,High income
QAT,Qatar,MEA,HIC,High income
ROU,Romania,ECS,HIC,High income
RUS,Russian Federation,ECS,HIC,High income
RWA,Rwanda,SSF,LIC,Low income
SAU,Saudi Arabia,MEA,HIC,High income
SDN,Sudan,SSF,LIC,Low income
SEN,Senegal,SSF,LMC,Lower-middle income
SGP,Singapore,EAS,HIC,High income
SLB,Solomon Islands,EAS,LMC,Lower-middle income
SLE,Sierra Leone,SSF,LIC,Low income
SLV,El Salvador,LCN,UMC,Upper-middle income
SMR,San Marino,ECS,HIC,High income
SOM,"Somalia, Fed. Rep.",SSF,LIC,Low income
SRB,Serbia,ECS,UMC,Upper-middle income
SSD,South Sudan,SSF,LIC,Low income
STP,Sao Tome and Principe,SSF,LMC,Lower-middle income
SUR,Suriname,LCN,UMC,Upper-middle income
SVK,Slovak Republic,ECS,HIC,High income
SVN,Slovenia,ECS,HIC,High income
SWE,Sweden,ECS,HIC,High income
SWZ,Eswatini,SSF,LMC,Lower-middle income
SXM,Sint Maarten (Dutch part),LCN,HIC,High income
SYC,Seychelles,SSF,HIC,High income
SYR,Syrian Arab Republic,MEA,LIC,Low income
TCA,Turks and Caicos Islands,LCN,HIC,High income
TCD,Chad,SSF,LIC,Low income
TGO,Togo,SSF,LMC,Lower-middle income
THA,Thailand,EAS,UMC,Upper-middle income
TJK,Tajikistan,ECS,LMC,Lower-middle income
TKM,Turkmenistan,ECS,UMC,Upper-middle income
TLS,Timor-Leste,EAS,LMC,Lower-middle income
TON,Tonga,EAS,UMC,Upper-middle income
TTO,Trinidad and Tobago,LCN,HIC,High income
TUN,Tunisia,MEA,LMC,Lower-middle income
TUR,Turkiye,ECS,UMC,Upper-middle income
TUV,Tuvalu,EAS,UMC,Upper-middle income
TZA,Tanzania,SSF,LMC,Lower-middle income
UGA,Uganda,SSF,LIC,Low income
UKR,Ukraine,ECS,UMC,Upper-middle income
URY,Uruguay,LCN,HIC,High income
USA,United States,NAC,HIC,High income
UZB,Uzbekistan,ECS,LMC,Lower-middle income
VCT,St. Vincent and the Grenadines,LCN,UMC,Upper-middle income
VEN,"Venezuela, RB",LCN,LMC,Lower-middle income
VGB,British Virgin Islands,LCN,HIC,High income
VIR,Virgin Islands (U.S.),LCN,HIC,High income
VNM,Viet Nam,EAS,UMC,Upper-middle income
VUT,Vanuatu,EAS,LMC,Lower-middle income
WSM,Samoa,EAS,UMC,Upper-middle income
XKX,Kosovo,ECS,UMC,Upper-middle income
YEM,"Yemen, Rep.",MEA,LIC,Low income
ZAF,South Africa,SSF,UMC,Upper-middle income
ZMB,Zambia,SSF,LMC,Lower-middle income
ZWE,Zimbabwe,SSF,LMC,Lower-middle income
