k,inertia,silhouette
2,3934.3609703841876,0.3121426416831926
3,3565.1641056136623,0.30018965045205936
4,3295.3030122020436,0.12958005691705504
5,3137.321767657179,0.10660147214879655
6,2988.426147022188,0.11449732750874189
7,2852.5964881357795,0.10923350168764581
8,2698.343171301469,0.12220685142286794
