iso3,name,income_group,region,cluster
NOR,Norway,High income,ECS,1
NPL,Nepal,Lower-middle income,SAS,0
NRU,Naoero,High income,EAS,1
NZL,New Zealand,High income,EAS,1
OMN,Oman,High income,MEA,1
PAK,Pakistan,Lower-middle income,MEA,0
PAN,Panama,High income,LCN,1
PER,Peru,Upper-middle income,LCN,1
PHL,Philippines,Upper-middle income,EAS,1
PLW,Palau,High income,EAS,1
PNG,Papua New Guinea,Lower-middle income,EAS,0
POL,Poland,High income,ECS,1
PRI,Puerto Rico (US),High income,LCN,1
PRK,"Korea, Dem. People's Rep.",Low income,EAS,1
PRT,Portugal,High income,ECS,1
PRY,Paraguay,Upper-middle income,LCN,1
PSE,West Bank and Gaza,Lower-middle income,MEA,1
PYF,French Polynesia,High income,EAS,1
QAT,Qatar,High income,MEA,1
ROU,Romania,High income,ECS,1
RUS,Russian Federation,High income,ECS,1
RWA,Rwanda,Low income,SSF,0
SAU,Saudi Arabia,High income,MEA,1
SDN,Sudan,Low income,SSF,0
SEN,Senegal,Lower-middle income,SSF,0
SGP,Singapore,High income,EAS,1
SLB,Solomon Islands,Lower-middle income,EAS,0
SLE,Sierra Leone,Low income,SSF,0
SLV,El Salvador,Upper-middle income,LCN,1
SMR,San Marino,High income,ECS,1
SOM,"Somalia, Fed. Rep.",Low income,SSF,0
SRB,Serbia,Upper-middle income,ECS,1
SSD,South Sudan,Low income,SSF,0
STP,Sao Tome and Principe,Lower-middle income,SSF,0
SUR,Suriname,Upper-middle income,LCN,1
SVK,Slovak Republic,High income,ECS,1
SVN,Slovenia,High income,ECS,1
SWE,Sweden,High income,ECS,1
SWZ,Eswatini,Lower-middle income,SSF,0
SXM,Sint Maarten (Dutch part),High income,LCN,1
SYC,Seychelles,High income,SSF,1
SYR,Syrian Arab Republic,Low income,MEA,1
TCA,Turks and Caicos Islands,High income,LCN,1
TCD,Chad,Low income,SSF,0
TGO,Togo,Lower-middle income,SSF,0
THA,Thailand,Upper-middle income,EAS,1
TJK,Tajikistan,Lower-middle income,ECS,1
TKM,Turkmenistan,Upper-middle income,ECS,1
TLS,Timor-Leste,Lower-middle income,EAS,0
TON,Tonga,Upper-middle income,EAS,1
TTO,Trinidad and Tobago,High income,LCN,1
TUN,Tunisia,Lower-middle income,MEA,1
TUR,Turkiye,Upper-middle income,ECS,1
TUV,Tuvalu,Upper-middle income,EAS,1
TZA,Tanzania,Lower-middle income,SSF,0
UGA,Uganda,Low income,SSF,0
UKR,Ukraine,Upper-middle income,ECS,1
URY,Uruguay,High income,LCN,1
USA,United States,High income,NAC,1
UZB,Uzbekistan,Lower-middle income,ECS,1
VCT,St. Vincent and the Grenadines,Upper-middle income,LCN,1
VEN,"Venezuela, RB",Lower-middle income,LCN,1
VGB,British Virgin Islands,High income,LCN,1
VIR,Virgin Islands (U.S.),High income,LCN,1
VNM,Viet Nam,Upper-middle income,EAS,1
VUT,Vanuatu,Lower-middle income,EAS,1
WSM,Samoa,Upper-middle income,EAS,1
XKX,Kosovo,Upper-middle income,ECS,1
YEM,"Yemen, Rep.",Low income,MEA,0
ZAF,South Africa,Upper-middle income,SSF,0
ZMB,Zambia,Lower-middle income,SSF,0
ZWE,Zimbabwe,Lower-middle income,SSF,0
