iso3,name,income_group,region,cluster
NOR,Norway,High income,ECS,2
NPL,Nepal,Lower-middle income,SAS,1
NRU,Naoero,High income,EAS,2
NZL,New Zealand,High income,EAS,2
OMN,Oman,High income,MEA,2
PAK,Pakistan,Lower-middle income,MEA,1
PAN,Panama,High income,LCN,2
PER,Peru,Upper-middle income,LCN,2
PHL,Philippines,Upper-middle income,EAS,2
PLW,Palau,High income,EAS,2
PNG,Papua New Guinea,Lower-middle income,EAS,1
POL,Poland,High income,ECS,2
PRI,Puerto Rico (US),High income,LCN,2
PRK,"Korea, Dem. People's Rep.",Low income,EAS,2
PRT,Portugal,High income,ECS,2
PRY,Paraguay,Upper-middle income,LCN,2
PSE,West Bank and Gaza,Lower-middle income,MEA,2
PYF,French Polynesia,High income,EAS,2
QAT,Qatar,High income,MEA,2
ROU,Romania,High income,ECS,2
RUS,Russian Federation,High income,ECS,2
RWA,Rwanda,Low income,SSF,1
SAU,Saudi Arabia,High income,MEA,2
SDN,Sudan,Low income,SSF,1
SEN,Senegal,Lower-middle income,SSF,1
SGP,Singapore,High income,EAS,2
SLB,Solomon Islands,Lower-middle income,EAS,1
SLE,Sierra Leone,Low income,SSF,1
SLV,El Salvador,Upper-middle income,LCN,2
SMR,San Marino,High income,ECS,2
SOM,"Somalia, Fed. Rep.",Low income,SSF,0
SRB,Serbia,Upper-middle income,ECS,2
SSD,South Sudan,Low income,SSF,0
STP,Sao Tome and Principe,Lower-middle income,SSF,1
SUR,Suriname,Upper-middle income,LCN,2
SVK,Slovak Republic,High income,ECS,2
SVN,Slovenia,High income,ECS,2
SWE,Sweden,High income,ECS,2
SWZ,Eswatini,Lower-middle income,SSF,1
SXM,Sint Maarten (Dutch part),High income,LCN,2
SYC,Seychelles,High income,SSF,2
SYR,Syrian Arab Republic,Low income,MEA,2
TCA,Turks and Caicos Islands,High income,LCN,2
TCD,Chad,Low income,SSF,1
TGO,Togo,Lower-middle income,SSF,1
THA,Thailand,Upper-middle income,EAS,2
TJK,Tajikistan,Lower-middle income,ECS,2
TKM,Turkmenistan,Upper-middle income,ECS,2
TLS,Timor-Leste,Lower-middle income,EAS,1
TON,Tonga,Upper-middle income,EAS,2
TTO,Trinidad and Tobago,High income,LCN,2
TUN,Tunisia,Lower-middle income,MEA,2
TUR,Turkiye,Upper-middle income,ECS,2
TUV,Tuvalu,Upper-middle income,EAS,2
TZA,Tanzania,Lower-middle income,SSF,1
UGA,Uganda,Low income,SSF,1
UKR,Ukraine,Upper-middle income,ECS,2
URY,Uruguay,High income,LCN,2
USA,United States,High income,NAC,2
UZB,Uzbekistan,Lower-middle income,ECS,2
VCT,St. Vincent and the Grenadines,Upper-middle income,LCN,2
VEN,"Venezuela, RB",Lower-middle income,LCN,2
VGB,British Virgin Islands,High income,LCN,2
VIR,Virgin Islands (U.S.),High income,LCN,2
VNM,Viet Nam,Upper-middle income,EAS,2
VUT,Vanuatu,Lower-middle income,EAS,1
WSM,Samoa,Upper-middle income,EAS,1
XKX,Kosovo,Upper-middle income,ECS,2
YEM,"Yemen, Rep.",Low income,MEA,1
ZAF,South Africa,Upper-middle income,SSF,1
ZMB,Zambia,Lower-middle income,SSF,1
ZWE,Zimbabwe,Lower-middle income,SSF,1
